,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__criterion,param_rf__max_depth,param_rf__n_estimators,param_tfidf__ngram_range,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,mean_train_f1,std_train_f1
23,0.23139208555221558,0.0049267303967025396,0.02116495370864868,0.0005168113692329952,gini,20,150,"(2, 2)","{'rf__criterion': 'gini', 'rf__max_depth': 20, 'rf__n_estimators': 150, 'tfidf__ngram_range': (2, 2)}",0.22818791946308725,0.19333333333333333,0.20666666666666667,0.16778523489932887,0.19899328859060403,0.021892835081314666,31,0.24498886414253898,0.29910714285714285,0.3013392857142857,0.289532293986637,0.28374189667515115,0.022809455948829768,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.37158469945355194,0.3240223463687151,0.3425414364640884,0.28735632183908044,0.33137620103135895,0.03055001951774277,31,0.3935599284436494,0.46048109965635736,0.4631217838765009,0.44905008635578586,0.4415532245830734,0.02820915904254126
24,0.06733298301696777,0.0009177564979273098,0.01197361946105957,0.0001138886147987913,entropy,5,50,"(1, 1)","{'rf__criterion': 'entropy', 'rf__max_depth': 5, 'rf__n_estimators': 50, 'tfidf__ngram_range': (1, 1)}",0.06711409395973154,0.05333333333333334,0.09333333333333334,0.006711409395973154,0.05512304250559284,0.03142730070885028,46,0.053452115812917596,0.046875,0.08258928571428571,0.07126948775055679,0.06354647231944002,0.014160753263146074,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.12578616352201258,0.10126582278481013,0.17073170731707318,0.013333333333333334,0.1027792567393073,0.057336107723479524,46,0.1014799154334038,0.08955223880597014,0.15257731958762888,0.13305613305613306,0.11916640172078397,0.024995122082178634
25,0.08211678266525269,0.0008342737144612717,0.013994097709655762,0.0005141628220801076,entropy,5,50,"(2, 2)","{'rf__criterion': 'entropy', 'rf__max_depth': 5, 'rf__n_estimators': 50, 'tfidf__ngram_range': (2, 2)}",0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0
26,0.11883503198623657,0.0032324734830644058,0.014765381813049316,0.0002606409364974046,entropy,5,100,"(1, 1)","{'rf__criterion': 'entropy', 'rf__max_depth': 5, 'rf__n_estimators': 100, 'tfidf__ngram_range': (1, 1)}",0.026845637583892617,0.02,0.013333333333333334,0.020134228187919462,0.020078299776286355,0.004777569783922935,59,0.044543429844097995,0.011160714285714286,0.011160714285714286,0.0556792873051225,0.030636036430162265,0.01986930013372534,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.05228758169934641,0.0392156862745098,0.02631578947368421,0.039473684210526314,0.03932318541451668,0.009182893418530926,59,0.08528784648187633,0.02207505518763797,0.02207505518763797,0.10548523206751055,0.0587307972311657,0.03734481520671236
27,0.12705469131469727,0.004883876661641435,0.015817761421203613,0.0002873403118752586,entropy,5,100,"(2, 2)","{'rf__criterion': 'entropy', 'rf__max_depth': 5, 'rf__n_estimators': 100, 'tfidf__ngram_range': (2, 2)}",0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0
28,0.16726136207580566,0.0028720366412697453,0.017527222633361816,0.00030826505801354395,entropy,5,150,"(1, 1)","{'rf__criterion': 'entropy', 'rf__max_depth': 5, 'rf__n_estimators': 150, 'tfidf__ngram_range': (1, 1)}",0.04697986577181208,0.05333333333333334,0.013333333333333334,0.026845637583892617,0.03512304250559284,0.01593350093393386,49,0.0400890868596882,0.04241071428571429,0.011160714285714286,0.05790645879732739,0.03789174355711104,0.016884802087162382,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.08974358974358974,0.10126582278481013,0.02631578947368421,0.05228758169934641,0.06740319592535762,0.02984303711140517,50,0.07708779443254818,0.08137044967880086,0.02207505518763797,0.10947368421052632,0.07250174587737833,0.03166015282060632
29,0.1805703043937683,0.006857185123507918,0.018654584884643555,0.0008685451236056885,entropy,5,150,"(2, 2)","{'rf__criterion': 'entropy', 'rf__max_depth': 5, 'rf__n_estimators': 150, 'tfidf__ngram_range': (2, 2)}",0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0
30,0.07882726192474365,0.0015655721140678711,0.012244343757629395,0.0006297049816555278,entropy,10,50,"(1, 1)","{'rf__criterion': 'entropy', 'rf__max_depth': 10, 'rf__n_estimators': 50, 'tfidf__ngram_range': (1, 1)}",0.40268456375838924,0.3333333333333333,0.4066666666666667,0.174496644295302,0.32929530201342283,0.09400962974085278,26,0.40757238307349664,0.41964285714285715,0.48660714285714285,0.33407572383073497,0.4119745267260579,0.054121236689522456,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.5741626794258373,0.5,0.5781990521327014,0.29714285714285715,0.48737614717534894,0.11415862707399946,27,0.5791139240506329,0.5911949685534591,0.6546546546546547,0.5008347245409015,0.5814495679499121,0.054676699248071
31,0.08716809749603271,0.0015013597537595618,0.013437151908874512,7.377764599795577e-05,entropy,10,50,"(2, 2)","{'rf__criterion': 'entropy', 'rf__max_depth': 10, 'rf__n_estimators': 50, 'tfidf__ngram_range': (2, 2)}",0.03355704697986577,0.04,0.04,0.013422818791946308,0.03174496644295302,0.010900411557293287,51,0.08685968819599109,0.05133928571428571,0.05133928571428571,0.0757238307349666,0.06631552258988227,0.015485108528131477,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.06493506493506493,0.07692307692307693,0.07692307692307693,0.026490066225165563,0.061317821251596086,0.02069483619886385,51,0.1598360655737705,0.09766454352441614,0.09766454352441614,0.14078674948240166,0.1239879755262511,0.02717135675300076
32,0.13945341110229492,0.0014589711166883134,0.015081286430358887,0.000386839912148198,entropy,10,100,"(1, 1)","{'rf__criterion': 'entropy', 'rf__max_depth': 10, 'rf__n_estimators': 100, 'tfidf__ngram_range': (1, 1)}",0.348993288590604,0.31333333333333335,0.4533333333333333,0.3087248322147651,0.356096196868009,0.05826281125376896,25,0.35412026726057905,0.38392857142857145,0.5334821428571429,0.42316258351893093,0.4236733912663061,0.06796232524969792,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.5174129353233831,0.47715736040609136,0.6238532110091743,0.4717948717948718,0.5225545946333802,0.06108458209368365,25,0.5230263157894737,0.5548387096774193,0.6957787481804949,0.594679186228482,0.5920807399689675,0.06502982229139113
33,0.14134657382965088,0.0035337066535890047,0.01650911569595337,0.0003066755011549659,entropy,10,100,"(2, 2)","{'rf__criterion': 'entropy', 'rf__max_depth': 10, 'rf__n_estimators': 100, 'tfidf__ngram_range': (2, 2)}",0.03355704697986577,0.04,0.013333333333333334,0.006711409395973154,0.023400447427293067,0.0137710968760392,57,0.053452115812917596,0.06919642857142858,0.05357142857142857,0.0334075723830735,0.05240688633471206,0.012701489306717361,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.06493506493506493,0.07692307692307693,0.02631578947368421,0.013333333333333334,0.04537681616628985,0.026304938667856173,57,0.1014799154334038,0.12943632567849686,0.1016949152542373,0.06465517241379311,0.09931658219498277,0.023016020259666092
34,0.20826125144958496,0.00645073562464001,0.0186007022857666,0.00042846077412082086,entropy,10,150,"(1, 1)","{'rf__criterion': 'entropy', 'rf__max_depth': 10, 'rf__n_estimators': 150, 'tfidf__ngram_range': (1, 1)}",0.3959731543624161,0.3466666666666667,0.42,0.2953020134228188,0.3644854586129754,0.047898845820714325,23,0.3986636971046771,0.42410714285714285,0.5044642857142857,0.42761692650334077,0.43871301304486154,0.03957155590004986,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.5673076923076923,0.5148514851485149,0.5915492957746479,0.45595854922279794,0.5324167556134132,0.052125883254624986,22,0.5700636942675159,0.5956112852664577,0.6706231454005934,0.5990639625585024,0.6088405218732673,0.03738759400629955
