,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_jobs,param_weights,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,mean_train_f1,std_train_f1
10,0.00196230411529541,0.00012995261583989386,0.039656996726989746,0.006262922565126878,ball_tree,6,uniform,"{'algorithm': 'ball_tree', 'n_jobs': 6, 'weights': 'uniform'}",0.8657718120805369,0.8,0.82,0.8657718120805369,0.8378859060402684,0.02876845070014511,13,0.8596881959910914,0.8638392857142857,0.8772321428571429,0.8619153674832962,0.865668748011454,0.006835822929821299,0.9416058394160584,0.9917355371900827,0.924812030075188,0.8958333333333334,0.9384966850036656,0.03482626013350132,1,0.9601990049751243,0.9462102689486552,0.9447115384615384,0.9602977667493796,0.9528546447836744,0.00741278628500639,0.9020979020979021,0.8856088560885609,0.8692579505300353,0.8805460750853242,0.8843776959504557,0.011819575724471778,1,0.9071680376028202,0.9031505250875146,0.9097222222222222,0.9084507042253521,0.9071228722844773,0.0024648194620124
11,0.0019078850746154785,0.00010846491259562973,0.016196370124816895,0.00027401880441586406,ball_tree,6,distance,"{'algorithm': 'ball_tree', 'n_jobs': 6, 'weights': 'distance'}",0.8859060402684564,0.8266666666666667,0.82,0.87248322147651,0.8512639821029082,0.028428826994533096,1,0.9910913140311804,0.9888392857142857,0.9888392857142857,0.9910913140311804,0.9899652998727331,0.0011260141584473748,0.9166666666666666,0.9763779527559056,0.8913043478260869,0.8904109589041096,0.9186899815381921,0.03493448110834629,13,1.0,1.0,0.9977477477477478,0.9977578475336323,0.998876398820345,0.0011236068536776744,0.9010238907849829,0.8953068592057761,0.8541666666666666,0.8813559322033898,0.8829633372152038,0.01809957261879128,13,0.9955257270693513,0.9943883277216611,0.9932735426008968,0.994413407821229,0.9944002513032846,0.0007963170640207999
12,0.0021753907203674316,7.71009292684413e-05,0.03578108549118042,0.0005470699998715389,kd_tree,2,uniform,"{'algorithm': 'kd_tree', 'n_jobs': 2, 'weights': 'uniform'}",0.8657718120805369,0.8,0.82,0.8657718120805369,0.8378859060402684,0.02876845070014511,13,0.8596881959910914,0.8638392857142857,0.8772321428571429,0.8619153674832962,0.865668748011454,0.006835822929821299,0.9416058394160584,0.9917355371900827,0.924812030075188,0.8958333333333334,0.9384966850036656,0.03482626013350132,1,0.9601990049751243,0.9462102689486552,0.9447115384615384,0.9602977667493796,0.9528546447836744,0.00741278628500639,0.9020979020979021,0.8856088560885609,0.8692579505300353,0.8805460750853242,0.8843776959504557,0.011819575724471778,1,0.9071680376028202,0.9031505250875146,0.9097222222222222,0.9084507042253521,0.9071228722844773,0.0024648194620124
13,0.002293407917022705,0.00043275117738851316,0.015847861766815186,0.00018237699627517238,kd_tree,2,distance,"{'algorithm': 'kd_tree', 'n_jobs': 2, 'weights': 'distance'}",0.8859060402684564,0.8266666666666667,0.82,0.87248322147651,0.8512639821029082,0.028428826994533096,1,0.9910913140311804,0.9888392857142857,0.9888392857142857,0.9910913140311804,0.9899652998727331,0.0011260141584473748,0.9166666666666666,0.9763779527559056,0.8913043478260869,0.8904109589041096,0.9186899815381921,0.03493448110834629,13,1.0,1.0,0.9977477477477478,0.9977578475336323,0.998876398820345,0.0011236068536776744,0.9010238907849829,0.8953068592057761,0.8541666666666666,0.8813559322033898,0.8829633372152038,0.01809957261879128,13,0.9955257270693513,0.9943883277216611,0.9932735426008968,0.994413407821229,0.9944002513032846,0.0007963170640207999
14,0.0021328330039978027,9.157157231652967e-05,0.03989553451538086,0.005797831655120761,kd_tree,4,uniform,"{'algorithm': 'kd_tree', 'n_jobs': 4, 'weights': 'uniform'}",0.8657718120805369,0.8,0.82,0.8657718120805369,0.8378859060402684,0.02876845070014511,13,0.8596881959910914,0.8638392857142857,0.8772321428571429,0.8619153674832962,0.865668748011454,0.006835822929821299,0.9416058394160584,0.9917355371900827,0.924812030075188,0.8958333333333334,0.9384966850036656,0.03482626013350132,1,0.9601990049751243,0.9462102689486552,0.9447115384615384,0.9602977667493796,0.9528546447836744,0.00741278628500639,0.9020979020979021,0.8856088560885609,0.8692579505300353,0.8805460750853242,0.8843776959504557,0.011819575724471778,1,0.9071680376028202,0.9031505250875146,0.9097222222222222,0.9084507042253521,0.9071228722844773,0.0024648194620124
15,0.0021148324012756348,0.00011360230931153651,0.016197621822357178,0.0002995906796406738,kd_tree,4,distance,"{'algorithm': 'kd_tree', 'n_jobs': 4, 'weights': 'distance'}",0.8859060402684564,0.8266666666666667,0.82,0.87248322147651,0.8512639821029082,0.028428826994533096,1,0.9910913140311804,0.9888392857142857,0.9888392857142857,0.9910913140311804,0.9899652998727331,0.0011260141584473748,0.9166666666666666,0.9763779527559056,0.8913043478260869,0.8904109589041096,0.9186899815381921,0.03493448110834629,13,1.0,1.0,0.9977477477477478,0.9977578475336323,0.998876398820345,0.0011236068536776744,0.9010238907849829,0.8953068592057761,0.8541666666666666,0.8813559322033898,0.8829633372152038,0.01809957261879128,13,0.9955257270693513,0.9943883277216611,0.9932735426008968,0.994413407821229,0.9944002513032846,0.0007963170640207999
16,0.002162933349609375,6.640310552031665e-05,0.038166821002960205,0.0013158414623916286,kd_tree,6,uniform,"{'algorithm': 'kd_tree', 'n_jobs': 6, 'weights': 'uniform'}",0.8657718120805369,0.8,0.82,0.8657718120805369,0.8378859060402684,0.02876845070014511,13,0.8596881959910914,0.8638392857142857,0.8772321428571429,0.8619153674832962,0.865668748011454,0.006835822929821299,0.9416058394160584,0.9917355371900827,0.924812030075188,0.8958333333333334,0.9384966850036656,0.03482626013350132,1,0.9601990049751243,0.9462102689486552,0.9447115384615384,0.9602977667493796,0.9528546447836744,0.00741278628500639,0.9020979020979021,0.8856088560885609,0.8692579505300353,0.8805460750853242,0.8843776959504557,0.011819575724471778,1,0.9071680376028202,0.9031505250875146,0.9097222222222222,0.9084507042253521,0.9071228722844773,0.0024648194620124
17,0.002087414264678955,5.580328691191784e-05,0.0162392258644104,0.000262212444108138,kd_tree,6,distance,"{'algorithm': 'kd_tree', 'n_jobs': 6, 'weights': 'distance'}",0.8859060402684564,0.8266666666666667,0.82,0.87248322147651,0.8512639821029082,0.028428826994533096,1,0.9910913140311804,0.9888392857142857,0.9888392857142857,0.9910913140311804,0.9899652998727331,0.0011260141584473748,0.9166666666666666,0.9763779527559056,0.8913043478260869,0.8904109589041096,0.9186899815381921,0.03493448110834629,13,1.0,1.0,0.9977477477477478,0.9977578475336323,0.998876398820345,0.0011236068536776744,0.9010238907849829,0.8953068592057761,0.8541666666666666,0.8813559322033898,0.8829633372152038,0.01809957261879128,13,0.9955257270693513,0.9943883277216611,0.9932735426008968,0.994413407821229,0.9944002513032846,0.0007963170640207999
18,0.0012440085411071777,0.00010161252926404827,0.03681284189224243,0.013725661225142705,brute,2,uniform,"{'algorithm': 'brute', 'n_jobs': 2, 'weights': 'uniform'}",0.8657718120805369,0.8,0.82,0.8657718120805369,0.8378859060402684,0.02876845070014511,13,0.8596881959910914,0.8638392857142857,0.8772321428571429,0.8619153674832962,0.865668748011454,0.006835822929821299,0.9416058394160584,0.9917355371900827,0.924812030075188,0.8958333333333334,0.9384966850036656,0.03482626013350132,1,0.9601990049751243,0.9462102689486552,0.946987951807229,0.9602977667493796,0.9534237481200971,0.006830263419240681,0.9020979020979021,0.8856088560885609,0.8692579505300353,0.8805460750853242,0.8843776959504557,0.011819575724471778,1,0.9071680376028202,0.9031505250875146,0.9107763615295481,0.9084507042253521,0.9073864071113087,0.0027665366917159102
19,0.001196444034576416,0.00010473597857560857,0.007390201091766357,0.0004174507924017087,brute,2,distance,"{'algorithm': 'brute', 'n_jobs': 2, 'weights': 'distance'}",0.8859060402684564,0.8266666666666667,0.82,0.87248322147651,0.8512639821029082,0.028428826994533096,1,0.9910913140311804,0.9888392857142857,0.9888392857142857,0.9910913140311804,0.9899652998727331,0.0011260141584473748,0.9166666666666666,0.9763779527559056,0.8913043478260869,0.8904109589041096,0.9186899815381921,0.03493448110834629,13,1.0,1.0,0.9977477477477478,0.9977578475336323,0.998876398820345,0.0011236068536776744,0.9010238907849829,0.8953068592057761,0.8541666666666666,0.8813559322033898,0.8829633372152038,0.01809957261879128,13,0.9955257270693513,0.9943883277216611,0.9932735426008968,0.994413407821229,0.9944002513032846,0.0007963170640207999
20,0.0012968182563781738,0.00012245903008077422,0.03017324209213257,0.0015319866671323938,brute,4,uniform,"{'algorithm': 'brute', 'n_jobs': 4, 'weights': 'uniform'}",0.8657718120805369,0.8,0.82,0.8657718120805369,0.8378859060402684,0.02876845070014511,13,0.8596881959910914,0.8638392857142857,0.8772321428571429,0.8619153674832962,0.865668748011454,0.006835822929821299,0.9416058394160584,0.9917355371900827,0.924812030075188,0.8958333333333334,0.9384966850036656,0.03482626013350132,1,0.9601990049751243,0.9462102689486552,0.946987951807229,0.9602977667493796,0.9534237481200971,0.006830263419240681,0.9020979020979021,0.8856088560885609,0.8692579505300353,0.8805460750853242,0.8843776959504557,0.011819575724471778,1,0.9071680376028202,0.9031505250875146,0.9107763615295481,0.9084507042253521,0.9073864071113087,0.0027665366917159102
21,0.0011489391326904297,9.046799188733156e-05,0.007124364376068115,0.0001693024058266848,brute,4,distance,"{'algorithm': 'brute', 'n_jobs': 4, 'weights': 'distance'}",0.8859060402684564,0.8266666666666667,0.82,0.87248322147651,0.8512639821029082,0.028428826994533096,1,0.9910913140311804,0.9888392857142857,0.9888392857142857,0.9910913140311804,0.9899652998727331,0.0011260141584473748,0.9166666666666666,0.9763779527559056,0.8913043478260869,0.8904109589041096,0.9186899815381921,0.03493448110834629,13,1.0,1.0,0.9977477477477478,0.9977578475336323,0.998876398820345,0.0011236068536776744,0.9010238907849829,0.8953068592057761,0.8541666666666666,0.8813559322033898,0.8829633372152038,0.01809957261879128,13,0.9955257270693513,0.9943883277216611,0.9932735426008968,0.994413407821229,0.9944002513032846,0.0007963170640207999
22,0.0012320280075073242,0.00010048494608615643,0.028714418411254883,0.0017426584050864143,brute,6,uniform,"{'algorithm': 'brute', 'n_jobs': 6, 'weights': 'uniform'}",0.8657718120805369,0.8,0.82,0.8657718120805369,0.8378859060402684,0.02876845070014511,13,0.8596881959910914,0.8638392857142857,0.8772321428571429,0.8619153674832962,0.865668748011454,0.006835822929821299,0.9416058394160584,0.9917355371900827,0.924812030075188,0.8958333333333334,0.9384966850036656,0.03482626013350132,1,0.9601990049751243,0.9462102689486552,0.946987951807229,0.9602977667493796,0.9534237481200971,0.006830263419240681,0.9020979020979021,0.8856088560885609,0.8692579505300353,0.8805460750853242,0.8843776959504557,0.011819575724471778,1,0.9071680376028202,0.9031505250875146,0.9107763615295481,0.9084507042253521,0.9073864071113087,0.0027665366917159102
23,0.0012330412864685059,0.0001951899413331322,0.007160842418670654,0.00036639084714195405,brute,6,distance,"{'algorithm': 'brute', 'n_jobs': 6, 'weights': 'distance'}",0.8859060402684564,0.8266666666666667,0.82,0.87248322147651,0.8512639821029082,0.028428826994533096,1,0.9910913140311804,0.9888392857142857,0.9888392857142857,0.9910913140311804,0.9899652998727331,0.0011260141584473748,0.9166666666666666,0.9763779527559056,0.8913043478260869,0.8904109589041096,0.9186899815381921,0.03493448110834629,13,1.0,1.0,0.9977477477477478,0.9977578475336323,0.998876398820345,0.0011236068536776744,0.9010238907849829,0.8953068592057761,0.8541666666666666,0.8813559322033898,0.8829633372152038,0.01809957261879128,13,0.9955257270693513,0.9943883277216611,0.9932735426008968,0.994413407821229,0.9944002513032846,0.0007963170640207999
